"ST_NM","India.Checklist.Common.Name"
"Kerala","Garganey, Northern Pintail, Nilgiri Wood Pigeon, Eurasian Oystercatcher, Great Knot, Ruff, Sanderling, Marsh Sandpiper, Brown-headed Gull, Sandwich Tern, Malabar Grey Hornbill, Black-capped Kingfisher, Broad-tailed Grassbird, Banasura Laughingthrush, Nilgiri Laughingthrush, Ashambu Laughingthrush, Nilgiri Sholakili, White-bellied Sholakili, White-bellied Blue Flycatcher, Nilgiri Pipit"
"Ladakh","Common Merganser, Great Crested Grebe, Lesser Sand Plover, Brown-headed Gull, Common Tern, Bearded Vulture, Saker Falcon, Eurasian Crag Martin, Sulphur-bellied Warbler, Wallcreeper, Brown Dipper, Plumbeous Water Redstart, Blue Rock Thrush, Isabelline Wheatear, Desert Wheatear, Variable Wheatear"
"Lakshadweep","Grey Plover, Lesser Sand Plover, Common Greenshank, Western Reef Egret"
"Madhya Pradesh","Ruddy Shelduck, Lesser Florican, Sirkeer Malkoha, Sarus Crane, Great Thick-knee, Indian Courser, Black-bellied Tern, River Tern, Indian Skimmer, Lesser Adjutant, Egyptian Vulture, Red-headed Vulture, White-rumped Vulture, Indian Vulture, Griffon Vulture, Yellow-crowned Woodpecker, Rufous-tailed Lark, Sulphur-bellied Warbler, Bank Myna, Thick-billed Flowerpecker"
"Maharashtra","Ruddy Shelduck, Common Pochard, Nilgiri Wood Pigeon, Pied Avocet, Kentish Plover, Indian Courser, Brown-headed Gull, Little Tern, River Tern, Eurasian Spoonbill, Pallid Harrier, Montagu's Harrier, Forest Owlet, Malabar Grey Hornbill, Yellow-crowned Woodpecker, Rufous-tailed Lark, Eurasian Crag Martin, Sulphur-bellied Warbler, Thick-billed Flowerpecker, Tawny Pipit"
"Manipur","Manipur Bush Quail, Dark-rumped Swift, Slender-billed Oriole, Manipur Fulvetta, Black-breasted Parrotbill, Naga Wren Babbler, Cachar Wedge-billed Babbler, Slender-billed Babbler, Beautiful Nuthatch, Rufous-gorgeted Flycatcher, Plumbeous Water Redstart, Jerdon's Bushchat, Yellow-breasted Bunting"
"Meghalaya","Dark-rumped Swift, Great Slaty Woodpecker, Tawny-breasted Wren Babbler, Rufous-gorgeted Flycatcher, Plumbeous Water Redstart, Olive-backed Pipit"
"Mizoram","Wreathed Hornbill, Great Slaty Woodpecker, Chin Hills Wren Babbler, Mount Victoria Babax"
"Nagaland","Blyth's Tragopan, Dark-rumped Swift, Manipur Fulvetta, Naga Wren Babbler, Chestnut-backed Laughingthrush, Rufous-gorgeted Flycatcher"
"Odisha","Ruddy Shelduck, Tufted Duck, Great Crested Grebe, Pale-capped Pigeon, Great Thick-knee, Pied Avocet, Lesser Sand Plover, Eurasian Curlew, Terek Sandpiper, Brown-headed Gull, Black-bellied Tern, Indian Skimmer, Brown-winged Kingfisher, Black-capped Kingfisher, Mangrove Pitta, Oriental Skylark, Thick-billed Flowerpecker, Green Munia, Forest Wagtail"
"Puducherry","Pintail Snipe, Caspian Tern, Common Tern, Sandwich Tern"
"Punjab","Ruddy Shelduck, Spotted Redshank, Common Redshank, Black-bellied Tern, Egyptian Vulture, Isabelline Shrike, Bristled Grassbird, Jerdon's Babbler, Bank Myna"
"Rajasthan","Yellow-eyed Pigeon, Great Indian Bustard, Macqueen's Bustard, Lesser Florican, Demoiselle Crane, Pied Avocet, River Tern, Indian Skimmer, Great White Pelican, Indian Vulture, Griffon Vulture, Tawny Eagle, Eastern Imperial Eagle, Great Grey Shrike, White-naped Tit, Stoliczka's Bushchat, Isabelline Wheatear, Desert Wheatear, Variable Wheatear, Green Munia"
"Sikkim","Common Merganser, Blood Pheasant, Rufous-necked Hornbill, Rufous-vented Tit, Grey-crested Tit, Great Parrotbill, Fulvous Parrotbill, Hoary-throated Barwing, Wallcreeper, Brown Dipper, Rufous-gorgeted Flycatcher, Plumbeous Water Redstart"
"Tamil Nadu","Nilgiri Wood Pigeon, Grey Plover, Pintail Snipe, Brown-headed Gull, Gull-billed Tern, Caspian Tern, Whiskered Tern, Common Tern, Indian Spotted Eagle, Broad-tailed Grassbird, Yellow-throated Bulbul, Nilgiri Laughingthrush, Ashambu Laughingthrush, Pied Thrush, Nilgiri Sholakili, White-bellied Sholakili, White-bellied Blue Flycatcher, Kashmir Flycatcher, Forest Wagtail, Nilgiri Pipit"
"Telangana","Northern Pintail, Greater Flamingo, Pale-capped Pigeon, Indian Courser, Little Tern, Whiskered Tern, Black-bellied Tern, River Tern, Short-toed Snake Eagle, Pallid Harrier, Montagu's Harrier, Yellow-crowned Woodpecker, Rufous-tailed Lark, Yellow-throated Bulbul"
"Tripura","Pale-capped Pigeon, Pintail Snipe, White-rumped Vulture, Great Slaty Woodpecker"
"Uttar Pradesh","Ruddy Shelduck, Northern Pintail, Swamp Francolin, Great Crested Grebe, Sarus Crane, Pied Avocet, Ruff, Common Redshank, Black-bellied Tern, Indian Skimmer, Great White Pelican, Egyptian Vulture, Slender-billed Vulture, Indian Spotted Eagle, Pallas's Fish Eagle, Great Slaty Woodpecker, Bristled Grassbird, Bank Myna, Jerdon's Bushchat, Finn's Weaver"
"Uttarakhand","Ruddy Shelduck, Common Merganser, Cheer Pheasant, Great Crested Grebe, Bearded Vulture, Griffon Vulture, Pallas's Fish Eagle, Great Slaty Woodpecker, Rufous-vented Tit, Grey-crested Tit, Grey-crowned Prinia, Bristled Grassbird, Pale-footed Bush Warbler, Wallcreeper, Brown Dipper, Spot-winged Starling, Pied Thrush, Rufous-gorgeted Flycatcher, Plumbeous Water Redstart, Finn's Weaver"
"West Bengal","Ruddy Shelduck, Common Merganser, Great Crested Grebe, Pale-capped Pigeon, Lesser Sand Plover, Great Knot, Lesser Adjutant, Rufous-necked Hornbill, Brown-winged Kingfisher, Black-capped Kingfisher, Mangrove Pitta, Rufous-vented Tit, Bristled Grassbird, Great Parrotbill, Fulvous Parrotbill, Hoary-throated Barwing, Beautiful Nuthatch, Spot-winged Starling, Olive-backed Pipit, Yellow-breasted Bunting"
